size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage,
36525,10000,0,0,0.168296,0.168152,0.168125,0.168381,0.168175,0.168091,0.02938,0.027555,0.027696,0.0275,0.027546,0.027529,0,0,0,0,0,0,100
36525,10000,0,0,0.088926,0.088939,0.088916,0.088995,0.088871,0.088925,0.027537,0.027606,0.027599,0.027575,0.030363,0.027501,0,0,0,0,0,0,50
36525,10000,0,1,0.166517,0.166716,0.166617,0.166592,0.166499,0.166476,0.028126,0.026756,0.027286,0.026839,0.026839,0.026747,0,0,0,0,0,0,100
36525,10000,0,1,0.090866,0.090874,0.090828,0.090873,0.090929,0.090891,0.026752,0.026899,0.026785,0.026778,0.026795,0.026924,0,0,0,0,0,0,50
36525,10000,1,0,0.167049,0.166979,0.16709,0.167157,0.167229,0.167163,0.025114,0.025046,0.025073,0.025051,0.025072,0.025053,0,0,0,0,0,0,100
36525,10000,1,0,0.088172,0.088144,0.088225,0.088249,0.088141,0.088117,0.025106,0.025076,0.025053,0.025041,0.025034,0.025101,0,0,0,0,0,0,50
36525,10000,1,1,0.16837,0.168421,0.16843,0.168439,0.168509,0.16853,0.01976,0.019709,0.019725,0.020019,0.019751,0.020204,0,0,0,0,0,0,100
36525,10000,1,1,0.08905,0.088927,0.089001,0.08898,0.08904,0.088921,0.019891,0.019868,0.019716,0.019962,0.019825,0.019722,0,0,0,0,0,0,50
36525,10000,2,0,0.166319,0.166264,0.166591,0.166239,0.166178,0.166264,0.027568,0.02757,0.027532,0.027581,0.027514,0.027501,0,0,0,0,0,0,100
36525,10000,2,0,0.08958,0.089599,0.089597,0.089663,0.08973,0.089598,0.027467,0.027515,0.027548,0.027743,0.02754,0.027524,0,0,0,0,0,0,50
36525,10000,2,1,0.166657,0.16663,0.166566,0.166625,0.166642,0.166789,0.026812,0.02678,0.026855,0.02665,0.027047,0.02665,0,0,0,0,0,0,100
36525,10000,2,1,0.089568,0.089576,0.089627,0.089553,0.089637,0.089604,0.026724,0.027104,0.027034,0.026718,0.029507,0.027052,0,0,0,0,0,0,50
41090,10000,0,0,0.186262,0.186194,0.186341,0.18643,0.186338,0.186494,0.03096,0.030981,0.030905,0.030979,0.030948,0.030968,0,0,0,0,0,0,100
41090,10000,0,0,0.097929,0.097943,0.097873,0.097949,0.097886,0.097876,0.031022,0.03148,0.030906,0.030951,0.03096,0.030869,0,0,0,0,0,0,50
41090,10000,0,1,0.187894,0.187916,0.187763,0.187856,0.187835,0.187864,0.030332,0.030356,0.030085,0.030057,0.030129,0.030051,0,0,0,0,0,0,100
41090,10000,0,1,0.099304,0.099337,0.099286,0.099395,0.099224,0.099376,0.030147,0.030108,0.030124,0.03009,0.030121,0.030093,0,0,0,0,0,0,50
41090,10000,1,0,0.187982,0.188039,0.188188,0.188169,0.188133,0.187896,0.028164,0.02811,0.028232,0.028431,0.028234,0.028104,0,0,0,0,0,0,100
41090,10000,1,0,0.098777,0.098878,0.098767,0.098793,0.098778,0.098746,0.028387,0.028361,0.02838,0.028188,0.028153,0.028405,0,0,0,0,0,0,50
41090,10000,1,1,0.188779,0.188833,0.188944,0.188954,0.18881,0.188764,0.022157,0.022229,0.022157,0.022328,0.022166,0.022143,0,0,0,0,0,0,100
